Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'LSSSSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 22,479,360
  scalars                 : 14
  total                   : 47,645,198
Estimated FLOPs per token: 2.166651e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011503 | lrm: 1.00 | dt: 15641ms | tok/sec: 33,520 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.125709 | lrm: 1.00 | dt: 278ms | tok/sec: 1,885,359 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.870928 | lrm: 1.00 | dt: 280ms | tok/sec: 1,869,180 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.433020 | lrm: 1.00 | dt: 280ms | tok/sec: 1,874,444 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.042239 | lrm: 1.00 | dt: 300ms | tok/sec: 1,747,003 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.638421 | lrm: 1.00 | dt: 284ms | tok/sec: 1,847,923 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.371412 | lrm: 1.00 | dt: 281ms | tok/sec: 1,866,224 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.148875 | lrm: 1.00 | dt: 292ms | tok/sec: 1,792,579 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.969417 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,506 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.770024 | lrm: 1.00 | dt: 283ms | tok/sec: 1,849,955 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.617823 | lrm: 1.00 | dt: 284ms | tok/sec: 1,843,046 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.448731 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,392 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.355010 | lrm: 1.00 | dt: 287ms | tok/sec: 1,828,708 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.323933 | lrm: 1.00 | dt: 282ms | tok/sec: 1,860,537 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.251282 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,346 | mfu: 39.7% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.194814 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,268 | mfu: 39.6% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 6.122906 | lrm: 1.00 | dt: 284ms | tok/sec: 1,844,327 | mfu: 40.4% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 6.067225 | lrm: 1.00 | dt: 288ms | tok/sec: 1,822,855 | mfu: 39.9% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.997591 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,491 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 5.929273 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,692 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 5.906639 | lrm: 1.00 | dt: 284ms | tok/sec: 1,846,188 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 5.860394 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,675 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00022 (1.1%) | loss: 5.787289 | lrm: 1.00 | dt: 287ms | tok/sec: 1,824,210 | mfu: 39.9% | epoch: 1 | remaining: 297s    
step 00023 (1.2%) | loss: 5.755991 | lrm: 1.00 | dt: 286ms | tok/sec: 1,830,591 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.714977 | lrm: 1.00 | dt: 286ms | tok/sec: 1,832,620 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.665394 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,678 | mfu: 39.9% | epoch: 1 | remaining: 296s    
step 00026 (1.4%) | loss: 5.683822 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,104 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00027 (1.5%) | loss: 5.645434 | lrm: 1.00 | dt: 287ms | tok/sec: 1,825,047 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00028 (1.6%) | loss: 5.611561 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,059 | mfu: 39.6% | epoch: 1 | remaining: 295s    
step 00029 (1.7%) | loss: 5.622943 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,862 | mfu: 39.9% | epoch: 1 | remaining: 295s    
step 00030 (1.8%) | loss: 5.596324 | lrm: 1.00 | dt: 288ms | tok/sec: 1,823,322 | mfu: 39.9% | epoch: 1 | remaining: 294s    
step 00031 (1.9%) | loss: 5.567315 | lrm: 1.00 | dt: 288ms | tok/sec: 1,817,942 | mfu: 39.8% | epoch: 1 | remaining: 294s    
step 00032 (2.0%) | loss: 5.530131 | lrm: 1.00 | dt: 287ms | tok/sec: 1,825,347 | mfu: 40.0% | epoch: 1 | remaining: 294s    
step 00033 (2.1%) | loss: 5.534388 | lrm: 1.00 | dt: 289ms | tok/sec: 1,817,246 | mfu: 39.8% | epoch: 1 | remaining: 293s    
step 00034 (2.2%) | loss: 5.496208 | lrm: 1.00 | dt: 285ms | tok/sec: 1,841,768 | mfu: 40.3% | epoch: 1 | remaining: 293s    
step 00035 (2.3%) | loss: 5.490479 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,192 | mfu: 39.7% | epoch: 1 | remaining: 293s    
step 00036 (2.4%) | loss: 5.438536 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,832 | mfu: 39.9% | epoch: 1 | remaining: 293s    
step 00037 (2.5%) | loss: 5.409762 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,312 | mfu: 39.7% | epoch: 1 | remaining: 292s    
step 00038 (2.6%) | loss: 5.385636 | lrm: 1.00 | dt: 287ms | tok/sec: 1,825,571 | mfu: 40.0% | epoch: 1 | remaining: 292s    
step 00039 (2.7%) | loss: 5.413300 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,072 | mfu: 39.7% | epoch: 1 | remaining: 292s    
step 00040 (2.8%) | loss: 5.427327 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,584 | mfu: 39.6% | epoch: 1 | remaining: 291s    
step 00041 (2.9%) | loss: 5.413209 | lrm: 1.00 | dt: 286ms | tok/sec: 1,832,511 | mfu: 40.1% | epoch: 1 | remaining: 291s    
step 00042 (3.0%) | loss: 5.394256 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,603 | mfu: 39.7% | epoch: 1 | remaining: 291s    
step 00043 (3.1%) | loss: 5.364075 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,864 | mfu: 39.9% | epoch: 1 | remaining: 291s    
step 00044 (3.2%) | loss: 5.344456 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,075 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00045 (3.3%) | loss: 5.323191 | lrm: 1.00 | dt: 285ms | tok/sec: 1,837,981 | mfu: 40.2% | epoch: 1 | remaining: 290s    
step 00046 (3.4%) | loss: 5.291390 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,343 | mfu: 39.8% | epoch: 1 | remaining: 290s    
step 00047 (3.5%) | loss: 5.228891 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,788 | mfu: 39.6% | epoch: 1 | remaining: 289s    
step 00048 (3.5%) | loss: 5.209482 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,333 | mfu: 39.7% | epoch: 1 | remaining: 289s    
step 00049 (3.6%) | loss: 5.176463 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,624 | mfu: 39.6% | epoch: 1 | remaining: 289s    
step 00050 (3.7%) | loss: 5.160217 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,602 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00051 (3.8%) | loss: 5.179459 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,367 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00052 (3.9%) | loss: 5.130573 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,480 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00053 (4.0%) | loss: 5.140337 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,940 | mfu: 39.9% | epoch: 1 | remaining: 288s    
step 00054 (4.1%) | loss: 5.133810 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,658 | mfu: 39.8% | epoch: 1 | remaining: 287s    
step 00055 (4.2%) | loss: 5.113010 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,610 | mfu: 39.9% | epoch: 1 | remaining: 287s    
step 00056 (4.3%) | loss: 5.129038 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,514 | mfu: 39.6% | epoch: 1 | remaining: 287s    
step 00057 (4.4%) | loss: 5.108952 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,050 | mfu: 39.7% | epoch: 1 | remaining: 286s    
step 00058 (4.5%) | loss: 5.099729 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,211 | mfu: 39.8% | epoch: 1 | remaining: 286s    
step 00059 (4.6%) | loss: 5.083081 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,821 | mfu: 39.7% | epoch: 1 | remaining: 286s    
step 00060 (4.7%) | loss: 5.063844 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,154 | mfu: 39.8% | epoch: 1 | remaining: 286s    
step 00061 (4.8%) | loss: 5.037655 | lrm: 1.00 | dt: 287ms | tok/sec: 1,825,479 | mfu: 40.0% | epoch: 1 | remaining: 285s    
step 00062 (4.9%) | loss: 5.063937 | lrm: 1.00 | dt: 287ms | tok/sec: 1,824,145 | mfu: 39.9% | epoch: 1 | remaining: 285s    
step 00063 (5.0%) | loss: 5.028816 | lrm: 1.00 | dt: 287ms | tok/sec: 1,824,231 | mfu: 39.9% | epoch: 1 | remaining: 285s    
step 00064 (5.1%) | loss: 4.996981 | lrm: 1.00 | dt: 288ms | tok/sec: 1,820,568 | mfu: 39.9% | epoch: 1 | remaining: 284s    
step 00065 (5.2%) | loss: 5.003603 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,348 | mfu: 39.8% | epoch: 1 | remaining: 284s    
step 00066 (5.3%) | loss: 4.983918 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,422 | mfu: 39.9% | epoch: 1 | remaining: 284s    
step 00067 (5.4%) | loss: 4.985453 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,615 | mfu: 39.8% | epoch: 1 | remaining: 284s    
step 00068 (5.5%) | loss: 4.984961 | lrm: 1.00 | dt: 288ms | tok/sec: 1,822,772 | mfu: 39.9% | epoch: 1 | remaining: 283s    
step 00069 (5.6%) | loss: 4.969950 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,287 | mfu: 39.7% | epoch: 1 | remaining: 283s    
step 00070 (5.7%) | loss: 4.949685 | lrm: 1.00 | dt: 287ms | tok/sec: 1,826,147 | mfu: 40.0% | epoch: 1 | remaining: 283s    
step 00071 (5.8%) | loss: 4.974048 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,840 | mfu: 39.7% | epoch: 1 | remaining: 282s    
step 00072 (5.9%) | loss: 4.957890 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,449 | mfu: 39.8% | epoch: 1 | remaining: 282s    
step 00073 (6.0%) | loss: 4.913749 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,334 | mfu: 39.7% | epoch: 1 | remaining: 282s    
step 00074 (6.1%) | loss: 4.883250 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,230 | mfu: 39.6% | epoch: 1 | remaining: 282s    
step 00075 (6.1%) | loss: 4.887243 | lrm: 1.00 | dt: 288ms | tok/sec: 1,823,172 | mfu: 39.9% | epoch: 1 | remaining: 281s    
step 00076 (6.2%) | loss: 4.889556 | lrm: 1.00 | dt: 287ms | tok/sec: 1,827,466 | mfu: 40.0% | epoch: 1 | remaining: 281s    
step 00077 (6.3%) | loss: 4.912415 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,747 | mfu: 39.8% | epoch: 1 | remaining: 281s    
step 00078 (6.4%) | loss: 4.894060 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,428 | mfu: 39.7% | epoch: 1 | remaining: 280s    
step 00079 (6.5%) | loss: 4.887172 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,356 | mfu: 39.7% | epoch: 1 | remaining: 280s    
step 00080 (6.6%) | loss: 4.875860 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,739 | mfu: 39.5% | epoch: 1 | remaining: 280s    
step 00081 (6.7%) | loss: 4.847074 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,410 | mfu: 39.7% | epoch: 1 | remaining: 280s    
step 00082 (6.8%) | loss: 4.831621 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,562 | mfu: 39.7% | epoch: 1 | remaining: 279s    
step 00083 (6.9%) | loss: 4.811336 | lrm: 1.00 | dt: 287ms | tok/sec: 1,827,554 | mfu: 40.0% | epoch: 1 | remaining: 279s    
step 00084 (7.0%) | loss: 4.795385 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,611 | mfu: 39.7% | epoch: 1 | remaining: 279s    
step 00085 (7.1%) | loss: 4.757522 | lrm: 1.00 | dt: 289ms | tok/sec: 1,817,023 | mfu: 39.8% | epoch: 1 | remaining: 278s    
step 00086 (7.2%) | loss: 4.726412 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,431 | mfu: 39.9% | epoch: 1 | remaining: 278s    
step 00087 (7.3%) | loss: 4.725522 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,460 | mfu: 39.9% | epoch: 1 | remaining: 278s    
step 00088 (7.4%) | loss: 4.739603 | lrm: 1.00 | dt: 287ms | tok/sec: 1,825,223 | mfu: 40.0% | epoch: 1 | remaining: 278s    
step 00089 (7.5%) | loss: 4.708658 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,270 | mfu: 39.8% | epoch: 1 | remaining: 277s    
step 00090 (7.6%) | loss: 4.741981 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,737 | mfu: 39.6% | epoch: 1 | remaining: 277s    
step 00091 (7.7%) | loss: 4.701172 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,922 | mfu: 39.7% | epoch: 1 | remaining: 277s    
step 00092 (7.8%) | loss: 4.665303 | lrm: 1.00 | dt: 287ms | tok/sec: 1,824,464 | mfu: 39.9% | epoch: 1 | remaining: 276s    
step 00093 (7.9%) | loss: 4.656926 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,478 | mfu: 39.7% | epoch: 1 | remaining: 276s    
step 00094 (8.0%) | loss: 4.644864 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,432 | mfu: 39.7% | epoch: 1 | remaining: 276s    
step 00095 (8.1%) | loss: 4.658006 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,762 | mfu: 39.8% | epoch: 1 | remaining: 275s    
step 00096 (8.2%) | loss: 4.661809 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,715 | mfu: 39.6% | epoch: 1 | remaining: 275s    
step 00097 (8.3%) | loss: 4.663469 | lrm: 1.00 | dt: 286ms | tok/sec: 1,830,064 | mfu: 40.1% | epoch: 1 | remaining: 275s    
step 00098 (8.4%) | loss: 4.603060 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,017 | mfu: 39.7% | epoch: 1 | remaining: 275s    
step 00099 (8.5%) | loss: 4.611533 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,652 | mfu: 39.7% | epoch: 1 | remaining: 274s    
step 00100 (8.6%) | loss: 4.602517 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,868 | mfu: 39.8% | epoch: 1 | remaining: 274s    
step 00101 (8.6%) | loss: 4.592944 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,769 | mfu: 39.8% | epoch: 1 | remaining: 274s    
step 00102 (8.7%) | loss: 4.626316 | lrm: 1.00 | dt: 292ms | tok/sec: 1,797,019 | mfu: 39.3% | epoch: 1 | remaining: 273s    
step 00103 (8.8%) | loss: 4.596713 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,843 | mfu: 39.5% | epoch: 1 | remaining: 273s    
step 00104 (8.9%) | loss: 4.583379 | lrm: 1.00 | dt: 287ms | tok/sec: 1,829,563 | mfu: 40.1% | epoch: 1 | remaining: 273s    
step 00105 (9.0%) | loss: 4.579263 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,975 | mfu: 39.4% | epoch: 1 | remaining: 273s    
step 00106 (9.1%) | loss: 4.585282 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,353 | mfu: 39.7% | epoch: 1 | remaining: 272s    
step 00107 (9.2%) | loss: 4.586085 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,256 | mfu: 39.8% | epoch: 1 | remaining: 272s    
step 00108 (9.3%) | loss: 4.619581 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,178 | mfu: 39.8% | epoch: 1 | remaining: 272s    
step 00109 (9.4%) | loss: 4.592784 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,100 | mfu: 39.7% | epoch: 1 | remaining: 271s    
step 00110 (9.5%) | loss: 4.559070 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,722 | mfu: 39.8% | epoch: 1 | remaining: 271s    
step 00111 (9.6%) | loss: 4.551388 | lrm: 1.00 | dt: 286ms | tok/sec: 1,830,001 | mfu: 40.1% | epoch: 1 | remaining: 271s    
step 00112 (9.7%) | loss: 4.519194 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,485 | mfu: 39.7% | epoch: 1 | remaining: 271s    
step 00113 (9.8%) | loss: 4.492265 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,151 | mfu: 39.8% | epoch: 1 | remaining: 270s    
step 00114 (9.9%) | loss: 4.481636 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,779 | mfu: 39.6% | epoch: 1 | remaining: 270s    
